Time (s),A/D Value
0,0.02029143
4.02E-09,0.02031052
8.03E-09,0.02030569
1.20E-08,0.02030058
1.61E-08,0.02029689
2.01E-08,0.02029152
2.41E-08,0.02028537
2.81E-08,0.02028472
3.21E-08,0.02028317
3.61E-08,0.02027263
4.02E-08,0.02028164
4.42E-08,0.02029828
4.82E-08,0.02029543
5.22E-08,0.02028794
5.62E-08,0.02028961
6.02E-08,0.02030035
6.43E-08,0.02030298
6.83E-08,0.02029467
7.23E-08,0.02029051
7.63E-08,0.02029553
8.03E-08,0.02030558
8.43E-08,0.02029714
8.84E-08,0.02028107
9.24E-08,0.02028802
9.64E-08,0.02029494
1.00E-07,0.02028797
1.04E-07,0.02027635
1.08E-07,0.02027067
1.12E-07,0.02034704
1.16E-07,0.02038621
1.20E-07,0.02031487
1.24E-07,0.02027297
1.29E-07,0.02024976
1.33E-07,0.0202274
1.37E-07,0.02024178
1.41E-07,0.0202711
1.45E-07,0.02030297
1.49E-07,0.02031691
1.53E-07,0.02030439
1.57E-07,0.02030846
1.61E-07,0.02030433
1.65E-07,0.02028054
1.69E-07,0.02026167
1.73E-07,0.02025424
1.77E-07,0.02026626
1.81E-07,0.02027979
1.85E-07,0.02028201
1.89E-07,0.02029327
1.93E-07,0.02028514
1.97E-07,0.02025342
2.01E-07,0.02025169
2.05E-07,0.02027034
2.09E-07,0.02028093
2.13E-07,0.02027689
2.17E-07,0.02027322
2.21E-07,0.02029594
2.25E-07,0.02029602
2.29E-07,0.02026788
2.33E-07,0.02026253
2.37E-07,0.0202677
2.41E-07,0.02027726
2.45E-07,0.02028406
2.49E-07,0.02027092
2.53E-07,0.02025891
2.57E-07,0.02025227
2.61E-07,0.02024929
2.65E-07,0.02025794
2.69E-07,0.02026317
2.73E-07,0.02027282
2.77E-07,0.02027603
2.81E-07,0.02026617
2.85E-07,0.02026256
2.89E-07,0.02026401
2.93E-07,0.02026175
2.97E-07,0.02025917
3.01E-07,0.02026195
3.05E-07,0.02026615
3.09E-07,0.02027886
3.13E-07,0.02028225
3.17E-07,0.02026215
3.21E-07,0.02024281
3.25E-07,0.02024177
3.29E-07,0.02025093
3.33E-07,0.02025102
3.37E-07,0.02025525
3.41E-07,0.02026006
3.45E-07,0.02025392
3.49E-07,0.02025191
3.53E-07,0.02024256
3.57E-07,0.02023816
3.61E-07,0.02024665
3.65E-07,0.02024625
3.69E-07,0.02025658
3.73E-07,0.02026139
3.78E-07,0.02025256
3.82E-07,0.02025552
3.86E-07,0.02024629
3.90E-07,0.02024014
3.94E-07,0.0202407
3.98E-07,0.02024229
4.02E-07,0.02025992
4.06E-07,0.02026228
4.10E-07,0.02025311
4.14E-07,0.02025929
4.18E-07,0.02026543
4.22E-07,0.02025262
4.26E-07,0.02023711
4.30E-07,0.02023443
4.34E-07,0.02024841
4.38E-07,0.02025681
4.42E-07,0.02025422
4.46E-07,0.02026409
4.50E-07,0.020259
4.54E-07,0.02024271
4.58E-07,0.02023338
4.62E-07,0.02022681
4.66E-07,0.02024237
4.70E-07,0.02024336
4.74E-07,0.02022179
4.78E-07,0.02023116
4.82E-07,0.02023828
4.86E-07,0.02022197
4.90E-07,0.0202152
4.94E-07,0.0202251
4.98E-07,0.02025168
5.02E-07,0.0202595
5.06E-07,0.02024133
5.10E-07,0.02023995
5.14E-07,0.02024728
5.18E-07,0.02024017
5.22E-07,0.02021864
5.26E-07,0.02021739
5.30E-07,0.02024107
5.34E-07,0.02023625
5.38E-07,0.02023963
5.42E-07,0.02025238
5.46E-07,0.02022857
5.50E-07,0.02021213
5.54E-07,0.02020572
5.58E-07,0.02021126
5.62E-07,0.02023705
5.66E-07,0.0202435
5.70E-07,0.0202287
5.74E-07,0.02021585
5.78E-07,0.02021625
5.82E-07,0.02021761
5.86E-07,0.02021734
5.90E-07,0.02022403
5.94E-07,0.02022557
5.98E-07,0.02022076
6.02E-07,0.02022367
6.06E-07,0.02023271
6.10E-07,0.02021565
6.14E-07,0.02019204
6.18E-07,0.02019733
6.22E-07,0.02020537
6.27E-07,0.0202185
6.31E-07,0.02023488
6.35E-07,0.02023357
6.39E-07,0.02022512
6.43E-07,0.0202097
6.47E-07,0.0201966
6.51E-07,0.02019952
6.55E-07,0.02021157
6.59E-07,0.02021718
6.63E-07,0.02021161
6.67E-07,0.02021575
6.71E-07,0.02021048
6.75E-07,0.02020419
