Time (s),A/D Value
8.63E-07,0.01000767
8.67E-07,0.009960428
8.71E-07,0.009959277
8.76E-07,0.009984206
8.80E-07,0.01001736
8.84E-07,0.0100546
8.88E-07,0.01006068
8.92E-07,0.01003467
8.96E-07,0.00999183
9.00E-07,0.009954249
9.04E-07,0.009961522
9.08E-07,0.009991351
9.12E-07,0.01002522
9.16E-07,0.01004684
9.20E-07,0.01004756
9.24E-07,0.01004662
9.28E-07,0.01000325
9.32E-07,0.009957103
9.36E-07,0.009976433
9.40E-07,0.01001124
9.44E-07,0.01002832
9.48E-07,0.01003998
9.52E-07,0.01003614
9.56E-07,0.01001328
9.60E-07,0.009997739
9.64E-07,0.009994593
9.68E-07,0.009988017
9.72E-07,0.009991351
9.76E-07,0.01002523
9.80E-07,0.01005163
9.84E-07,0.01004489
9.88E-07,0.01003678
9.92E-07,0.01000954
9.96E-07,0.009970685
1.00E-06,0.00997114
1.00E-06,0.009987015
1.01E-06,0.01001625
1.01E-06,0.01005734
1.02E-06,0.0100565
1.02E-06,0.01002694
1.02E-06,0.009988825
1.03E-06,0.009961735
1.03E-06,0.009979856
1.04E-06,0.0099995
1.04E-06,0.01002554
1.04E-06,0.01006362
1.05E-06,0.01006135
1.05E-06,0.0100374
1.06E-06,0.009999281
1.06E-06,0.009963124
1.06E-06,0.009968288
1.07E-06,0.009995032
1.07E-06,0.01001659
1.08E-06,0.009971306
1.08E-06,0.009775985
1.08E-06,0.00977994
1.09E-06,0.01005084
1.09E-06,0.01016931
1.10E-06,0.01009182
1.10E-06,0.009934735
1.10E-06,0.01000285
1.11E-06,0.010258
1.11E-06,0.01037976
1.12E-06,0.01048251
1.12E-06,0.010562
1.12E-06,0.01073087
1.13E-06,0.01134725
1.13E-06,0.01196416
1.14E-06,0.01216108
1.14E-06,0.01233911
1.14E-06,0.01404279
1.15E-06,0.0185752
1.15E-06,0.02326205
1.16E-06,0.02521763
1.16E-06,0.02573333
1.16E-06,0.02630337
1.17E-06,0.02685071
1.17E-06,0.02730866
1.18E-06,0.02757692
1.18E-06,0.02771239
1.18E-06,0.02868355
1.19E-06,0.03065231
1.19E-06,0.03217397
1.20E-06,0.03275982
1.20E-06,0.03294019
1.20E-06,0.03300814
1.21E-06,0.03309385
1.21E-06,0.03312995
1.22E-06,0.03314253
1.22E-06,0.03319766
1.22E-06,0.03321647
1.23E-06,0.0332741
1.23E-06,0.03381061
1.24E-06,0.03595576
1.24E-06,0.03914981
1.24E-06,0.04098712
1.25E-06,0.04145534
1.25E-06,0.0417342
1.26E-06,0.04186913
1.26E-06,0.04194909
1.27E-06,0.04207401
1.27E-06,0.04211583
1.27E-06,0.04216708
1.28E-06,0.04223802
1.28E-06,0.04222582
1.29E-06,0.04286457
1.29E-06,0.04466916
1.29E-06,0.04640719
1.30E-06,0.04715198
1.30E-06,0.04736699
1.31E-06,0.04747396
1.31E-06,0.04754587
1.31E-06,0.04756287
1.32E-06,0.04758232
1.32E-06,0.04765044
1.33E-06,0.0477065
1.33E-06,0.04778166
1.33E-06,0.04784882
1.34E-06,0.04786508
1.34E-06,0.04791753
1.35E-06,0.04795302
1.35E-06,0.04794012
1.35E-06,0.04797715
1.36E-06,0.04802315
1.36E-06,0.04806193
1.37E-06,0.04812486
1.37E-06,0.04814881
1.37E-06,0.04817596
1.38E-06,0.04821169
1.38E-06,0.04819905
1.39E-06,0.04822542
1.39E-06,0.0482709
1.39E-06,0.04830588
1.40E-06,0.04837784
1.40E-06,0.04839943
1.41E-06,0.04837436
1.41E-06,0.04837338
1.41E-06,0.04838064
1.42E-06,0.04841634
1.42E-06,0.04845274
1.43E-06,0.04847372
1.43E-06,0.04852016
1.43E-06,0.04854933
1.44E-06,0.0485518
1.44E-06,0.04855957
1.45E-06,0.04856117
1.45E-06,0.04858014
1.45E-06,0.04863173
1.46E-06,0.04868375
1.46E-06,0.04872828
1.47E-06,0.04875692
1.47E-06,0.04874845
1.47E-06,0.04872495
1.48E-06,0.0487171
1.48E-06,0.04872559
1.49E-06,0.04877722
1.49E-06,0.04884405
1.49E-06,0.04887789
1.50E-06,0.04890626
1.50E-06,0.04891311
1.51E-06,0.04888636
1.51E-06,0.04886653
1.51E-06,0.04886329
1.52E-06,0.04889437
1.52E-06,0.04894592
1.53E-06,0.04897963
1.53E-06,0.0490016
1.53E-06,0.0490115
1.54E-06,0.04900982
1.54E-06,0.04901427
1.55E-06,0.0490368
1.55E-06,0.04907
1.55E-06,0.04912538
1.56E-06,0.0491648
1.56E-06,0.04916311
1.57E-06,0.04917829
1.57E-06,0.04917013
1.57E-06,0.04914522
1.58E-06,0.04916592
1.58E-06,0.04920017
1.59E-06,0.04925486
1.59E-06,0.04929794
1.59E-06,0.04930679
1.60E-06,0.04931696
